MixtureName,User,Treatment,Isolate1Freq,Isolate2Freq,Isolate1,Isolate2,Isolate1FreqPredicted,Isolate2FreqPredicted
CYC_C11R1_50_50_12,CYC,C11R1,0.5,0.5,1,2,0.390785443,0.609214557
CYC_C11R1_50_50_13,CYC,C11R1,0.5,0.5,1,3,0.90928711,0.09071289
CYC_C11R1_50_50_14,CYC,C11R1,0.5,0.5,1,4,0.118713363,0.881286637
CYC_C11R1_50_50_15,CYC,C11R1,0.5,0.5,1,5,0.191593536,0.808406464
CYC_C11R1_50_50_16,CYC,C11R1,0.5,0.5,1,6,0.927011635,0.072988365
CYC_C11R1_50_50_18,CYC,C11R1,0.5,0.5,1,8,0.30368788,0.69631212
CYC_C11R1_50_50_19,CYC,C11R1,0.5,0.5,1,9,0.212597643,0.787402357
CYC_C11R1_95_5_82,CYC,C11R1,0.95,0.05,8,2,0.439358756,0.560641244
CYC_C11R1_50_50_23,CYC,C11R1,0.5,0.5,2,3,0.685791614,0.314208386
CYC_C11R1_50_50_24,CYC,C11R1,0.5,0.5,2,4,0.224183489,0.775816511
CYC_C11R1_50_50_25,CYC,C11R1,0.5,0.5,2,5,0.026878585,0.973121415
CYC_C11R1_50_50_26,CYC,C11R1,0.5,0.5,2,6,0.924845348,0.075154652
CYC_C11R1_50_50_28,CYC,C11R1,0.5,0.5,2,8,0.6807448,0.3192552
CYC_C11R1_50_50_29,CYC,C11R1,0.5,0.5,2,9,0.316203866,0.683796134
CYC_C11R1_95_5_14,CYC,C11R1,0.95,0.05,1,4,0.152872767,0.847127233
CYC_C11R1_95_5_41,CYC,C11R1,0.95,0.05,4,1,0.856723194,0.143276806
CYC_C11R1_95_5_23,CYC,C11R1,0.95,0.05,2,3,0.757681892,0.242318108
CYC_C11R1_95_5_24,CYC,C11R1,0.95,0.05,2,4,0.329553789,0.670446211
CYC_C11R1_95_5_25,CYC,C11R1,0.95,0.05,2,5,0.026965247,0.973034753
CYC_C11R1_95_5_26,CYC,C11R1,0.95,0.05,2,6,0.923252004,0.076747996
CYC_C11R1_95_5_28,CYC,C11R1,0.95,0.05,2,8,0.617232457,0.382767543
CYC_C11R1_95_5_29,CYC,C11R1,0.95,0.05,2,9,0.356874404,0.643125596
CYC_C11R1_95_5_92,CYC,C11R1,0.95,0.05,9,2,0.678209766,0.321790234
CYC_C11R1_95_5_98,CYC,C11R1,0.95,0.05,9,8,0.681104008,0.318895992
CYC_control_50_50_AB,CYC,control,0.5,0.5,A,B,0.487381561,0.512618439
CYC_control_50_50_AC,CYC,control,0.5,0.5,A,C,0.120770706,0.879229294
CYC_control_50_50_AD,CYC,control,0.5,0.5,A,D,0.165030563,0.834969437
CYC_control_50_50_BC,CYC,control,0.5,0.5,B,C,0.23705478,0.76294522
CYC_control_50_50_BD,CYC,control,0.5,0.5,B,D,0.333871193,0.666128807
CYC_control_50_50_CD,CYC,control,0.5,0.5,C,D,0.579240655,0.420759345
CYC_control_95_5_AB,CYC,control,0.95,0.05,A,B,0.786594341,0.213405659
CYC_control_95_5_AC,CYC,control,0.95,0.05,A,C,0.45964173,0.54035827
CYC_control_95_5_AD,CYC,control,0.95,0.05,A,D,0.585893187,0.414106813
CYC_control_95_5_BC,CYC,control,0.95,0.05,B,C,0.618351594,0.381648406
CYC_control_95_5_BD,CYC,control,0.95,0.05,B,D,0.71595001,0.28404999
CYC_control_95_5_CD,CYC,control,0.95,0.05,C,D,0.797655541,0.202344459
