Assembly,AssemblyCommunity,AssemblyIsolate,ExpID,Community,Isolate,Family,Genus
across-community,AcrAss1,1,1.4.A.1,C1R4,1,Pseudomonadaceae,Pseudomonas
across-community,AcrAss1,2,1.6.A.5,C1R6,4,Enterobacteriaceae,Serratia
across-community,AcrAss1,3,2.6.A.3,C2R6,3,Enterobacteriaceae,Citrobacter
across-community,AcrAss1,4,2.8.A.1,C2R8,1,Enterobacteriaceae,Raoultella
across-community,AcrAss1,5,8.4.A.2,C8R4,2,Enterobacteriaceae,Enterobacter
across-community,AcrAss1,6,10.2.A.1,C10R2,1,Pseudomonadaceae,Pseudomonas
across-community,AcrAss1,7,11.1.B.1,C11R1,5,Enterobacteriaceae,Enterobacter
across-community,AcrAss1,8,11.2.B.2,C11R2,6,Enterobacteriaceae,Enterobacter
across-community,AcrAss2,1,1.2.A.5,C1R2,3,Enterobacteriaceae,Serratia
across-community,AcrAss2,2,1.6.A.6,C1R6,5,Enterobacteriaceae,Citrobacter
across-community,AcrAss2,3,1.7.A.1.2,C1R7,2,Pseudomonadaceae,Pseudomonas
across-community,AcrAss2,4,2.8.A.3,C2R8,3,Pseudomonadaceae,Pseudomonas
across-community,AcrAss2,5,4.1.A.2,C4R1,2,Enterobacteriaceae,Enterobacter
across-community,AcrAss2,6,8.4.A.1,C8R4,1,Pseudomonadaceae,Pseudomonas
across-community,AcrAss2,7,10.2.A.2,C10R2,2,Enterobacteriaceae,Enterobacter
across-community,AcrAss2,8,11.1.B.3,C11R1,6,Enterobacteriaceae,Raoultella
random-assembly,RanAss1,1,JVN1,,"",Enterobacteriaceae,Enterobacter
random-assembly,RanAss1,2,JVN2,,"",Enterobacteriaceae,Enterobacter
random-assembly,RanAss1,3,JVN7,,"",Enterobacteriaceae,Raoultella
random-assembly,RanAss1,4,JVN8,,"",Enterobacteriaceae,Enterobacter
random-assembly,RanAss1,5,JVN21,,"",Enterobacteriaceae,Pantoea
random-assembly,RanAss1,6,JVN25,,"",Enterobacteriaceae,Enterobacter
random-assembly,RanAss1,7,JVN30,,"",Pseudomonadaceae,Pseudomonas
random-assembly,RanAss1,8,JVN46,,"",Pseudomonadaceae,Pseudomonas
random-assembly,RanAss2,1,JVN3,,"",Enterobacteriaceae,Citrobacter
random-assembly,RanAss2,2,JVN11,,"",Enterobacteriaceae,Enterobacter
random-assembly,RanAss2,3,JVN12,,"",Enterobacteriaceae,Raoultella
random-assembly,RanAss2,4,JVN14,,"",Pseudomonadaceae,Pseudomonas
random-assembly,RanAss2,5,JVN23,,"",Pseudomonadaceae,Pseudomonas
random-assembly,RanAss2,6,JVN28,,"",Enterobacteriaceae,Enterobacter
random-assembly,RanAss2,7,JVN35,,"",Pseudomonadaceae,Pseudomonas
random-assembly,RanAss2,8,JVN41,,"",Enterobacteriaceae,Enterobacter
